رقم السورة,السورة,English Name,البيان,الصفحة
1,سُورَةُ الْفَاتِحَةِ,Al-Fatihah,مَكِّيَّةٌ,1
2,سُورَةُ الْبَقَرَةِ,Al-Baqarah,مَدَنِيَّةٌ,2
3,سُورَةُ آلِ عِمْرَانَ,Al-Imran,مَدَنِيَّةٌ,50
4,سُورَةُ النِّسَاءِ,An-Nisa,مَدَنِيَّةٌ,77
5,سُورَةُ الْمَائِدَةِ,Al-Ma'idah,مَدَنِيَّةٌ,106
6,سُورَةُ الْأَنْعَامِ,Al-An'am,مَكِّيَّةٌ,128
7,سُورَةُ الْأَعْرَافِ,Al-A'raf,مَكِّيَّةٌ,151
8,سُورَةُ الْأَنْفَالِ,Al-Anfal,مَدَنِيَّةٌ,177
9,سُورَةُ التَّوْبَةِ,At-Tawbah,مَدَنِيَّةٌ,187
10,سُورَةُ يُونُسَ,Yunus,مَكِّيَّةٌ,208
11,سُورَةُ هُودٍ,Hud,مَكِّيَّةٌ,221
12,سُورَةُ يُوسُفَ,Yusuf,مَكِّيَّةٌ,235
13,سُورَةُ الرَّعْدِ,Ar-Ra'd,مَدَنِيَّةٌ,249
14,سُورَةُ إِبْرَاهِيمَ,Ibrahim,مَكِّيَّةٌ,255
15,سُورَةُ الْحِجْرِ,Al-Hijr,مَكِّيَّةٌ,262
16,سُورَةُ النَّحْلِ,An-Nahl,مَكِّيَّةٌ,267
17,سُورَةُ الْإِسْرَاءِ,Al-Isra,مَكِّيَّةٌ,282
18,سُورَةُ الْكَهْفِ,Al-Kahf,مَكِّيَّةٌ,293
19,سُورَةُ مَرْيَمَ,Maryam,مَكِّيَّةٌ,305
20,سُورَةُ طه,Taha,مَكِّيَّةٌ,312
21,سُورَةُ الْأَنْبِيَاءِ,Al-Anbiya,مَكِّيَّةٌ,322
22,سُورَةُ الْحَجِّ,Al-Hajj,مَدَنِيَّةٌ,332
23,سُورَةُ الْمُؤْمِنُونَ,Al-Mu'minun,مَكِّيَّةٌ,342
24,سُورَةُ النُّورِ,An-Nur,مَدَنِيَّةٌ,350
25,سُورَةُ الْفُرْقَانِ,Al-Furqan,مَكِّيَّةٌ,359
26,سُورَةُ الشُّعَرَاءِ,Ash-Shu'ara,مَكِّيَّةٌ,367
27,سُورَةُ النَّمْلِ,An-Naml,مَكِّيَّةٌ,377
28,سُورَةُ الْقَصَصِ,Al-Qasas,مَكِّيَّةٌ,385
29,سُورَةُ الْعَنْكَبُوتِ,Al-Ankabut,مَكِّيَّةٌ,396
30,سُورَةُ الرُّومِ,Ar-Rum,مَكِّيَّةٌ,404
31,سُورَةُ لُقْمَانَ,Luqman,مَكِّيَّةٌ,411
32,سُورَةُ السَّجْدَةِ,As-Sajdah,مَكِّيَّةٌ,415
33,سُورَةُ الْأَحْزَابِ,Al-Ahzab,مَدَنِيَّةٌ,418
34,سُورَةُ سَبَإٍ,Saba,مَكِّيَّةٌ,428
35,سُورَةُ فَاطِرٍ,Fatir,مَكِّيَّةٌ,434
36,سُورَةُ يس,Ya-Sin,مَكِّيَّةٌ,440
37,سُورَةُ الصَّافَّاتِ,As-Saffat,مَكِّيَّةٌ,446
38,سُورَةُ ص,Sad,مَكِّيَّةٌ,453
39,سُورَةُ الزُّمَرِ,Az-Zumar,مَكِّيَّةٌ,458
40,سُورَةُ غَافِرٍ,Ghafir,مَكِّيَّةٌ,467
41,سُورَةُ فُصِّلَتْ,Fussilat,مَكِّيَّةٌ,477
42,سُورَةُ الشُّورَى,Ash-Shura,مَكِّيَّةٌ,483
43,سُورَةُ الزُّخْرُفِ,Az-Zukhruf,مَكِّيَّةٌ,489
44,سُورَةُ الدُّخَانِ,Ad-Dukhan,مَكِّيَّةٌ,496
45,سُورَةُ الْجَاثِيَةِ,Al-Jathiyah,مَكِّيَّةٌ,499
46,سُورَةُ الْأَحْقَافِ,Al-Ahqaf,مَكِّيَّةٌ,502
47,سُورَةُ مُحَمَّدٍ,Muhammad,مَدَنِيَّةٌ,507
48,سُورَةُ الْفَتْحِ,Al-Fath,مَدَنِيَّةٌ,511
49,سُورَةُ الْحُجُرَاتِ,Al-Hujurat,مَدَنِيَّةٌ,515
50,سُورَةُ ق,Qaf,مَكِّيَّةٌ,518
51,سُورَةُ الذَّارِيَاتِ,Adh-Dhariyat,مَكِّيَّةٌ,520
52,سُورَةُ الطُّورِ,At-Tur,مَكِّيَّةٌ,523
53,سُورَةُ النَّجْمِ,An-Najm,مَكِّيَّةٌ,526
